domain,count,"MX"
shaw.ca,1,"smtp.glb.shawcable.net. idcmail-mx1so.cg.shawcable.net. idcmail-mx2no.cg.shawcable.net."
mail.competamail.com,5,"aspmx2.googlemail.com. aspmx3.googlemail.com. alt1.aspmx.l.google.com. alt2.aspmx.l.google.com. aspmx.l.google.com."
yahoo.com,33,"mta7.am0.yahoodns.net. mta5.am0.yahoodns.net. mta6.am0.yahoodns.net."
mail.mordiprime.com,3,"alt1.aspmx.l.google.com. alt2.aspmx.l.google.com. aspmx.l.google.com. aspmx2.googlemail.com. aspmx3.googlemail.com."
interia.pl,12,"mx.interia.pl."
gmail.com,126,"alt3.gmail-smtp-in.l.google.com. alt2.gmail-smtp-in.l.google.com. gmail-smtp-in.l.google.com. alt1.gmail-smtp-in.l.google.com. alt4.gmail-smtp-in.l.google.com."
aol.com,35,"mx-aol.mail.gm0.yahoodns.net."
outlook.com,35,"outlook-com.olc.protection.outlook.com."
mail.com,4,"mx00.mail.com. mx01.mail.com."
laposte.net,5,"smtpz4.laposte.net."
brighthouse.com,3,"pkvw-mx.msg.pkvw.co.charter.net."
seznam.cz,14,"mx2.seznam.cz. mx1.seznam.cz."
21cn.com,3,"mta.21cn.com."
web.de,7,"mx-ha03.web.de. mx-ha02.web.de."
mail.ru,4,"mxs.mail.ru."
mail.reduxprime.com,4,"alt1.aspmx.l.google.com. alt2.aspmx.l.google.com. aspmx.l.google.com. aspmx2.googlemail.com. aspmx3.googlemail.com."
163.com,12,"163mx03.mxmail.netease.com. 163mx01.mxmail.netease.com. 163mx02.mxmail.netease.com. 163mx00.mxmail.netease.com."
zohomail.com,3,"smtpin2.zoho.com. smtpin3.zoho.com. smtpin.zoho.com."
daum.net,3,"mx3.hanmail.net. mx1.hanmail.net. mx4.hanmail.net. mx2.hanmail.net."
onet.pl,7,"mx.poczta.onet.pl."
freenet.de,4,"emig.freenet.de."
gmx.ch,3,"mx01.emig.gmx.net. mx00.emig.gmx.net."
gmx.de,3,"mx01.emig.gmx.net. mx00.emig.gmx.net."
tiscali.it,3,"imp-5.mail.tiscali.it. etb-2.mail.tiscali.it. etb-1.mail.tiscali.it. etb-4.mail.tiscali.it. etb-3.mail.tiscali.it."
libero.it,3,"smtp-in.libero.it."
windstream.net,2,"mx01.windstream.net."
mail.xcorp5.com,5,"aspmx3.googlemail.com. alt1.aspmx.l.google.com. alt2.aspmx.l.google.com. aspmx.l.google.com. aspmx2.googlemail.com."
Freemail.hu,4,"fmx.Freemail.hu."
yandex.ru,1,"mx.yandex.ru."
Mail.com,1,"mx00.Mail.com. mx01.Mail.com."
sina.cn,3,"freemx2.sinamail.sina.com.cn. freemx1.sinamail.sina.com.cn. freemx3.sinamail.sina.com.cn."
mail.primusnumberus.com,1,"aspmx.l.google.com. aspmx2.googlemail.com. aspmx3.googlemail.com. alt1.aspmx.l.google.com. alt2.aspmx.l.google.com."
mail.primemordius.com,2,"aspmx.l.google.com. aspmx2.googlemail.com. aspmx3.googlemail.com. alt1.aspmx.l.google.com. alt2.aspmx.l.google.com."
wp.pl,3,"mx.wp.pl. mx5.wp.pl."
comcast.net,4,"mx2.comcast.net. mx1.comcast.net."
rackspace.sparkpostseed.com,3,"mx2.emailsrvr.com. mx1.emailsrvr.com."
att.net,2,"ff-ip4-mx-vip1.prodigy.net. al-ip4-mx-vip2.prodigy.net. ff-ip4-mx-vip2.prodigy.net. al-ip4-mx-vip1.prodigy.net."
evun-campaigns.emailanalyst.com,1,"mx5-prod.edatasource.com. mx4-prod.edatasource.com. mx3-prod.edatasource.com."
